city,total_customer
Mandaluyong,1
Higashiosaka,1
Olomouc,1
Salzburg,1
Lengshuijiang,1
"Palghat (Palakkad)",1
Salinas,1
Kalisz,1
Kumbakonam,1
Yantai,1
Salamanca,1
Karnal,1
Peoria,1
Warren,1
Ogbomosho,1
Inegöl,1
Tabriz,1
Owo,1
Fuzhou,1
Ponce,1
Korla,1
"Benin City",1
Otsu,1
Effon-Alaiye,1
Tambaram,1
"Valle de Santiago",1
"Kowloon and New Kowloon",1
"Valle de la Pascua",1
Roanoke,1
Sharja,1
"Donostia-San Sebastián",1
Dayton,1
Kolpino,1
Patiala,1
Ahmadnagar,1
Oulu,1
Hiroshima,1
Parbhani,1
Kaliningrad,1
Tiefa,1
Sanaa,1
Callao,1
Arlington,1
"Sungai Petani",1
"Angra dos Reis",1
"Kansas City",1
Brescia,1
Ibirité,1
Kursk,1
Tabuk,1
Ezhou,1
Sorocaba,1
"Bat Yam",1
Miraj,1
Tórshavn,1
Bydgoszcz,1
"San Felipe del Progreso",1
Tafuna,1
Birgunj,1
"Bahía Blanca",1
Cuautla,1
Yuzhou,1
Brasília,1
Kingstown,1
Adana,1
Ciparay,1
Jamalpur,1
"Santa Fé",1
Dhaka,1
Baku,1
Sumqayit,1
Sousse,1
Rampur,1
Onomichi,1
Paarl,1
Xinxiang,1
Hanoi,1
Ede,1
"Boa Vista",1
Mexicali,1
Nuku´alofa,1
"San Lorenzo",1
Maikop,1
Daugavpils,1
Hsichuh,1
Imus,1
Tšeboksary,1
Zeleznogorsk,1
Bamenda,1
"Pachuca de Soto",1
"Santo André",1
Matsue,1
Satna,1
Bratislava,1
Ranchi,1
"Almirante Brown",1
Arecibo,1
Yaoundé,1
Belém,1
Nyeri,1
Guadalajara,1
Okinawa,1
Balikesir,1
Adoni,1
Najafabad,1
Juárez,1
Gulbarga,1
Cabuyao,1
Probolinggo,1
Tanauan,1
"Vitória de Santo Antão",1
Mwene-Ditu,1
Kurgan,1
Kermanshah,1
Shenzhen,1
Bhavnagar,1
Tychy,1
"South Hill",1
Manchester,1
Namibe,1
Huai´an,1
Tama,1
Kamjanets-Podilskyi,1
Lubumbashi,1
Cavite,1
Emeishan,1
"Nakhon Sawan",1
Izumisano,1
"Addis Abeba",1
Korolev,1
Gijón,1
al-Qadarif,1
Iwatsuki,1
Atšinsk,1
Bagé,1
Okara,1
Dallas,1
Koriyama,1
Brest,1
Valparai,1
Omiya,1
Tandil,1
"Charlotte Amalie",1
Rustenburg,1
Jaffna,1
"Deba Habe",1
"Richmond Hill",1
Cianjur,1
Hoshiarpur,1
"Berhampore (Baharampur)",1
Allende,1
Amersfoort,1
Dadu,1
al-Qatif,1
"San Felipe de Puerto Plata",1
Katihar,1
"El Monte",1
Pudukkottai,1
Laohekou,1
Sawhaj,1
Shanwei,1
"San Juan Bautista Tuxtepec",1
"Purnea (Purnia)",1
Guarujá,1
Syktyvkar,1
Tsuyama,1
Dzerzinsk,1
Sucre,1
Newcastle,1
Naçala-Porto,1
Ozamis,1
Junan,1
Vancouver,1
"La Romana",1
Kitwe,1
Bergamo,1
"Dhule (Dhulia)",1
Batna,1
Tongliao,1
"São Leopoldo",1
Tartu,1
Escobar,1
Uluberia,1
"Nabereznyje Tšelny",1
Erlangen,1
Sirjan,1
Surakarta,1
"El Fuerte",1
"Abu Dhabi",1
Maracaíbo,1
Uruapan,1
"El Alto",1
Ziguinchor,1
Rockford,1
Tegal,1
Qomsheh,1
Florencia,1
Gingoog,1
Usolje-Sibirskoje,1
Halifax,1
Rancagua,1
Zapopan,1
Dongying,1
Cuauhtémoc,1
Bijapur,1
"Ourense (Orense)",1
Hodeida,1
Johannesburg,1
"Nam Dinh",1
Lhokseumawe,1
Emmen,1
Šostka,1
Gatineau,1
Stockport,1
Ashqelon,1
Akron,1
Gaziantep,1
Mwanza,1
Coatzacoalcos,1
Denizli,1
Yinchuan,1
Shaoguan,1
Acuña,1
Pjatigorsk,1
"La Paz",1
Okayama,1
Sogamoso,1
"Mit Ghamr",1
Kanchrapara,1
Sultanbeyli,1
Ríobamba,1
Baiyin,1
Rizhao,1
York,1
Salala,1
Brindisi,1
Madiun,1
Lublin,1
"Siliguri (Shiliguri)",1
Ueda,1
Joliet,1
Talavera,1
Pontianak,1
Eskisehir,1
Vijayawada,1
Chapra,1
Kamyšin,1
Suihua,1
Yangor,1
Zaoyang,1
Coquimbo,1
Battambang,1
Chungho,1
Sivas,1
Isesaki,1
"Nha Trang",1
Yingkou,1
"Santa Rosa",1
Vinh,1
Purwakarta,1
Udine,1
"Cape Coral",1
Mogiljov,1
Benguela,1
Bhimavaram,1
Ezeiza,1
Kuwana,1
"Cam Ranh",1
Binzhou,1
Amroha,1
NDjamna,1
Tonghae,1
Baicheng,1
Valencia,1
Ruse,1
Livorno,1
"Pangkal Pinang",1
Beni-Mellal,1
"São Bernardo do Campo",1
Konotop,1
Sanya,1
Kanazawa,1
Tarlac,1
"Santiago de Compostela",1
Zhoushan,1
Alvorada,1
Haining,1
"Novi Sad",1
Rajkot,1
Chatsworth,1
Southport,1
Vilnius,1
Wroclaw,1
Bilbays,1
Avellaneda,1
Garland,1
Sokoto,1
Bucuresti,1
Xintai,1
Huánuco,1
Tokat,1
Serpuhov,1
Barcelona,1
Leshan,1
Monclova,1
Plock,1
Czestochowa,1
Zhezqazghan,1
Akishima,1
Cuernavaca,1
Fengshan,1
Tanshui,1
Carmen,1
Mosul,1
Iligan,1
"José Azueta",1
"Huejutla de Reyes",1
Southampton,1
Banjul,1
Quilmes,1
Tsaotun,1
Celaya,1
Weifang,1
Loja,1
al-Manama,1
"Juiz de Fora",1
Székesfehérvár,1
"Garden Grove",1
Jining,1
Jinzhou,1
Patras,1
Sullana,1
Lausanne,1
Tieli,1
